ra,dec,z
195.165652138,27.923928691,0.0250153
195.178482835,27.963082777,0.0280933
195.11830459,27.972390572,0.0257351
195.233578026,27.790849806,0.0265941
195.225499922,27.783701593,0.0276761
195.246904427,27.899815694,0.0228892
195.288470451,27.818304,0.019749
195.29459764,27.802886139,0.0223221
195.323304735,27.809070419,0.0243504
195.197521013,27.922155055,0.0285745
195.358830541,27.885971807,0.018252
195.382500008,27.847499273,0.0182247
195.459237858,27.893543796,0.025181
195.500575705,27.782710695,0.0237407
195.719722758,27.866585243,0.0273864
195.771634233,27.784118419,0.0255824
196.546210341,27.700162287,0.0223724
193.223287464,28.371261621,0.0235802
193.637332816,28.376772174,0.0233579
193.723696005,28.41697023,0.0246123
193.844042068,28.467884331,0.0234183
194.146639308,28.275445089,0.0243342
194.039751121,28.310878656,0.0263852
194.523322674,28.242593868,0.0239884
194.757589131,28.225341358,0.0267536
194.990657282,28.246662254,0.0223723
195.074725382,28.202387414,0.0284444
195.128228287,28.346364662,0.0198655
195.184310395,28.337266301,0.0264083
195.217031222,28.366124334,0.0254767
195.287683871,28.359784229,0.0230127
195.344943926,28.196039384,0.0253623
195.553315874,28.214835458,0.0273098
195.590270929,28.255976978,0.0227214
195.958124805,28.185726668,0.0232351
195.978638908,28.187642091,0.0229171
239.994435165,15.591367687,0.0336077
240.234412207,15.526440655,0.0385179
240.37730323,15.503902863,0.0352966
240.256087309,15.41996262,0.0346455
240.418904539,15.431817074,0.0359624
240.727997829,15.335722417,0.0335736
240.762841111,15.210242321,0.0345305
239.449052863,16.282303656,0.0353972
239.521262432,16.225738426,0.0365514
240.383182249,15.830699556,0.0379997
240.445198093,15.822184246,0.0385068
240.439855435,15.891087746,0.0374727
240.438214495,15.836545901,0.0377271
240.466518143,15.792267236,0.0411503
240.55916366,15.883910532,0.0346943
240.588001796,15.878165649,0.0349815
240.618205467,15.845965849,0.0360905
240.579611903,15.754042461,0.0379328
240.911088781,15.645602941,0.0375774
240.076551083,16.424904163,0.0391181
240.053158124,16.411357284,0.0348861
240.338401887,16.306762728,0.0367899
240.464013253,16.236303544,0.0353106
240.534877895,16.342224735,0.0395832
240.582735619,16.346023746,0.0383434
240.575057022,16.366201124,0.039577
240.573223059,16.365734407,0.0395655
240.458002721,16.359931976,0.0347965
240.465640808,16.271828028,0.037829
240.466571021,16.24898746,0.0362053
240.519792269,16.361173048,0.0319573
240.581283991,16.301616042,0.038609
240.577284436,16.27111422,0.0343257
240.560231727,16.21072716,0.0373975
240.684093209,16.285642619,0.0339368
240.687989164,16.248196428,0.0352215
240.628476844,16.306446127,0.0381031
240.70266969,16.119353164,0.0332817
240.751150908,16.204611463,0.0391897
240.79759547,16.237378889,0.0383661
240.752427106,16.119288144,0.0398325
240.772305088,16.266945598,0.0364149
240.790815932,16.256173242,0.0368161
240.791109924,16.138857002,0.041302
240.882313426,16.072171098,0.0397265
241.04360793,16.087527383,0.0347702
241.055264872,16.163718165,0.0393739
241.331856267,15.896943429,0.0377571
241.747265632,15.788694893,0.0378326
241.735875692,15.721249722,0.0373517
240.330694153,16.930827124,0.035888
240.279017757,16.840118995,0.0376976
240.293283099,16.785591038,0.0356855
240.363324148,16.920134656,0.0349759
240.32531231,16.748210094,0.0361441
240.417785861,16.712949655,0.0374912
240.553176335,16.807545091,0.0337029
240.700202309,16.722999573,0.0343555
240.958238908,16.699380455,0.0359112
240.976627043,16.598972506,0.0382039
241.175402117,16.511180884,0.0362543
241.157971313,16.47070367,0.0390201
241.018381143,16.479752665,0.0381206
241.182217401,16.522281186,0.0362543
241.171310856,16.42988788,0.0335664
241.220168873,16.413407495,0.0364552
241.475169154,16.336202022,0.0391944
241.67539255,16.319600779,0.036669
241.67647561,16.294971373,0.0364688
240.367088877,17.240509316,0.0360054
240.705162044,17.167418537,0.0345608
240.892829986,16.957168222,0.0336212
241.362646426,16.967300305,0.0362198
239.402957144,16.134096843,0.0354553
239.419858794,16.126196315,0.0373197
239.593414652,16.102583525,0.0386379
240.481710731,15.706362499,0.0347343
240.536017195,15.69316034,0.0344462
240.538725089,15.711238647,0.0323085
239.550092018,16.501077311,0.0366565
240.455079841,16.163707874,0.0385593
240.508809737,16.16888325,0.0380761
240.754434338,16.096316513,0.038204
240.991617453,16.000574403,0.0320092
240.179872923,16.716257203,0.0355273
240.149303996,16.659854642,0.034499
240.157166549,16.670506768,0.0349829
240.366372939,16.492049037,0.037513
240.513207274,16.528834034,0.0351603
240.47843605,16.454570241,0.0354932
240.594790369,16.588504918,0.0397396
240.583947799,16.425670681,0.036581
240.676267878,16.554713966,0.0360294
240.623924866,16.402953296,0.0383285
240.607029348,16.421556913,0.0408482
240.651011673,16.480756319,0.0351657
240.709879946,16.569805853,0.0359073
240.700424077,16.559479443,0.0352441
240.772446027,16.352116006,0.0370297
240.81144087,16.402821552,0.0367505
240.755064333,16.370989285,0.0372847
240.815562383,16.318848821,0.0375813
240.887108465,16.32295671,0.0383499
240.932035759,16.327791678,0.034961
240.941053567,16.33833445,0.0385779
240.937754965,16.273865013,0.0321111
240.988495743,16.361911254,0.0381476
241.203235588,16.268859044,0.0373329
241.198113698,16.184774962,0.0364415
241.344654556,16.198200975,0.0337082
241.33829836,16.104268404,0.0364774
241.514690682,16.175722142,0.0346684
240.297812115,17.088580559,0.0362396
240.415779314,16.940055014,0.035782
240.517817189,17.075854775,0.0368501
241.580285258,16.538488274,0.035326
240.160070231,15.353904713,0.0351498
240.54017844,15.217191342,0.0364942
240.696872813,15.158222556,0.0359952
239.989071013,15.828140544,0.0362571
240.149041294,15.685630961,0.0356593
240.191130992,15.77520461,0.0367446
240.320084764,15.645393207,0.0368099
240.234471529,15.754945586,0.0353295
240.301499877,15.756030534,0.038121
240.30980019,15.689042651,0.0359259
240.327499677,15.592415559,0.0329266
240.349464157,15.546428094,0.0357866
240.508003548,15.677695588,0.0320564
240.484459355,15.651887152,0.0344761
240.479993082,15.478308163,0.0355539
240.579846656,15.54316349,0.0334442
240.501973825,15.490986016,0.0349634
240.588107461,15.464516769,0.0347048
240.699249683,15.460190045,0.0346536
241.375937638,15.373883016,0.0351651
239.44378348,16.373455045,0.0361952
239.456749138,16.310166285,0.0370146
239.538339627,16.311307594,0.037336
239.576391739,16.341242431,0.0382616
239.511593577,16.347589126,0.0361662
239.699756821,16.253369437,0.0378005
240.068817671,16.145466637,0.0337484
240.194425681,16.239722544,0.036089
240.299242382,16.176734841,0.0377813
240.444003389,16.157185906,0.0378357
240.413358555,16.014472644,0.0353201
240.489474782,16.097135984,0.0419582
240.558384505,16.019780529,0.037113
240.561409572,16.024310594,0.037113
240.573314899,16.002949997,0.0392505
240.57097425,15.974620837,0.035348
240.549857924,15.919832873,0.034447
240.549194381,15.918210466,0.0328866
240.553374619,15.907566906,0.0357898
240.52905318,16.093134626,0.0367618
240.518188956,15.947400813,0.0361007
240.539563705,15.99108625,0.0382101
240.547543711,16.005971924,0.035953
240.544008544,15.971293255,0.0391848
240.542857655,15.944228816,0.0369886
240.597231431,15.996421334,0.0347338
240.640729352,15.92401117,0.0398837
240.668970359,15.983185224,0.0336667
240.71244405,15.961037516,0.0351772
240.76018194,16.033184647,0.0369915
240.744920519,15.842797192,0.0318344
240.803029081,15.849576152,0.03877
240.794676208,15.807357612,0.037035
240.938887117,15.973634111,0.0401396
240.893928648,15.874986207,0.0337971
240.958757748,15.945701002,0.0367332
240.93192485,15.789791739,0.0342582
241.215639175,15.723109216,0.036375
241.317186789,15.688821723,0.0351842
241.515141608,15.673875422,0.0361472
241.576235446,15.72690493,0.0361991
241.62650358,15.690676973,0.034502
241.728588461,15.673087297,0.0373083
241.725914452,15.67317367,0.0373083
176.694587732,21.271473666,0.0221607
176.312329166,21.644403778,0.0222973
177.114567033,21.156634497,0.0227196
177.731033163,21.145474308,0.0213519
175.621353528,21.587364442,0.0224465
177.107246064,18.940186198,0.0214493
177.952004727,19.358109535,0.0231847
174.8519218,19.534727765,0.0225589
174.712428534,19.601454041,0.0226945
175.758940148,19.6497296,0.0232441
175.817595764,19.748735778,0.0250258
175.904096276,19.604648301,0.0219492
176.031870511,19.737528614,0.0258589
176.118211202,19.735166514,0.0227591
176.19426036,19.757880011,0.0213957
176.217422233,19.60994413,0.0215517
176.237322426,19.731894669,0.0258472
176.270934203,19.606341317,0.0215959
176.266268669,19.620590547,0.0211647
176.442102403,19.773755144,0.0179541
176.455923725,19.767351885,0.0232094
176.526211376,19.634336675,0.0208295
176.52576536,19.790219365,0.0188839
176.470963491,19.611507639,0.0225332
174.226429795,19.971698985,0.0206476
175.342947396,19.962660462,0.0218487
175.450116843,20.103712326,0.0191228
175.561540045,19.976516293,0.0260602
175.602025096,20.119291699,0.0199612
175.560865963,20.09782463,0.0197788
175.746059805,20.086866748,0.021668
175.688146253,20.03230827,0.0210843
175.995642034,20.077010803,0.0245471
175.992618601,20.185525984,0.0216717
176.003275627,20.02932145,0.0226827
176.022744973,19.996084794,0.0188434
176.104583041,20.107802637,0.0246786
176.127299904,20.076656918,0.0224088
176.19598786,20.125076391,0.021744
176.133824043,20.106599039,0.0240206
174.90814375,20.45468133,0.0231544
174.962207421,20.394920505,0.0225891
175.853740629,20.557582219,0.0189498
176.274628037,20.437886347,0.0228715
176.453555551,20.628606364,0.0234168
176.499401233,20.438925885,0.0235491
177.714496683,20.496874981,0.0231263
178.127166813,20.625466123,0.0220405
174.492642252,20.778561075,0.0230709
175.322633593,20.831452872,0.0239434
176.481617419,21.025515061,0.0224529
177.376241577,21.043454306,0.0217967
177.664599794,20.907330968,0.021309
175.907193823,19.090458845,0.0226137
176.440302533,19.163834065,0.0202791
176.643469453,19.110078726,0.0203917
176.812659953,19.175978934,0.0200925
175.823364656,19.384020842,0.0211802
176.208939001,19.532840251,0.0209275
176.217640231,19.454191025,0.0183727
176.373403029,19.400161944,0.0249465
176.374746078,19.444689574,0.0212701
176.315302738,19.392106096,0.022339
176.494802125,19.529015624,0.0183098
176.397012798,19.416507539,0.0247109
176.512771342,19.436986413,0.0173066
177.055581225,19.447902477,0.0225975
175.776322219,19.938991563,0.021212
175.954451576,19.968467334,0.0224322
175.985077428,19.894573552,0.0210204
175.998199385,19.778955654,0.0187062
175.989602736,19.953778937,0.0210061
176.008984325,19.971915217,0.0210927
176.008967736,19.94982291,0.0207963
176.013358968,19.801087063,0.0266348
176.078946635,19.844650233,0.021254
176.086431672,19.825918691,0.0184893
176.085074679,19.980854915,0.0211141
176.197700431,19.876376182,0.0260772
176.20484025,19.795055515,0.021081
176.26615182,19.973676718,0.016883
176.311881672,19.845537849,0.025772
176.773311142,19.837177875,0.0194301
176.913924336,19.939366491,0.0205112
177.014017698,20.006330428,0.0241259
177.673012425,20.01518779,0.0203639
177.711443889,20.04884965,0.0216532
175.173642838,20.342945934,0.0217756
175.933185691,20.272693349,0.02294
175.989396961,20.300574335,0.0194144
176.023928078,20.248192825,0.0220414
176.068683989,20.216861689,0.0224515
176.071675954,20.223303194,0.021381
176.349309637,20.325434405,0.0233109
176.550676091,20.391656144,0.0231254
177.754503474,20.399313203,0.0215391
175.992135715,20.806372934,0.0212557
176.365322336,20.807167037,0.0231425
176.696632247,20.675411891,0.0233751
177.759437944,20.799708013,0.021432
177.951613276,20.457700737,0.0220605
175.553894837,18.40382077,0.0233196
246.591334497,40.911868626,0.0295139
246.659096181,40.866428159,0.0314665
246.753300635,40.810511143,0.0304985
246.849396203,40.677792415,0.0299456
246.903921324,40.671064109,0.0333246
246.978786421,40.606077285,0.0329162
246.996783869,40.497298339,0.033678
247.15044271,40.497505564,0.0288644
247.215764256,40.351487058,0.0290669
247.424464928,40.248220145,0.0304658
247.45617928,40.220802296,0.0315076
246.931159557,41.30755473,0.0297642
247.116229157,41.217650461,0.0281729
247.157991058,41.163954987,0.0303175
247.114856876,41.161006833,0.0317749
247.104077985,41.168470004,0.0317749
247.173572455,41.136988242,0.0322805
247.164916425,41.111027682,0.0332592
247.288951315,40.987594674,0.0343526
247.239088055,40.899384546,0.0345775
247.3491422,40.874952386,0.0274619
247.296171903,40.857414282,0.0328409
247.443775194,40.874864764,0.0282333
247.448676905,40.871989495,0.0280319
247.436995092,40.811654782,0.0293382
247.491930764,40.628516299,0.0288322
247.489685249,40.630681813,0.0299853
247.567377473,40.659747962,0.0280531
247.599691576,40.665683225,0.029269
247.658578683,40.708528923,0.0266539
247.641305432,40.539418387,0.0300581
247.674441876,40.529395718,0.0298122
247.574031167,40.598573916,0.030811
247.608177551,40.614215627,0.0292256
247.647617239,40.62337525,0.0279142
247.800576982,40.486695011,0.0309528
247.800440672,40.42185007,0.0270087
247.783546713,40.388120808,0.0292515
247.662013177,41.210506327,0.0324865
247.766155,41.156041754,0.0301943
248.718412423,40.194772229,0.0306769
248.782826319,40.991397121,0.0300481
246.720422177,41.253762739,0.0287545
246.749420885,41.098850703,0.0285494
246.939956258,41.072712508,0.0333227
246.959650147,40.937439745,0.0308858
246.921385352,40.926961697,0.0317277
246.797226792,40.906628346,0.0316919
246.997088596,40.968194874,0.0328385
247.073525373,40.967005857,0.0290825
247.089869128,40.906797083,0.0336958
247.104714929,40.858244754,0.0332882
246.920939988,40.875400348,0.0332822
247.083836186,40.933280048,0.0291972
247.041304273,40.695590884,0.0323713
247.119274504,40.720822637,0.0287912
247.269901277,40.617705018,0.0316554
247.280284787,40.591015834,0.0327969
247.256597655,40.534873356,0.0278487
247.282633456,40.665048557,0.0299683
247.254753731,40.495061272,0.0302344
247.367202845,40.54731282,0.0320905
247.381410097,40.412819632,0.0282756
247.423498951,40.333382599,0.0293079
247.526532886,40.314705356,0.0316524
247.644028568,40.187318178,0.0279423
247.750583681,40.247656755,0.0319424
247.251701505,41.284278118,0.0318872
247.304114762,41.150883451,0.0295927
247.245275333,41.255287964,0.0332324
247.579383385,41.102066371,0.0295154
247.591643556,40.924249897,0.030559
247.778436836,40.933098667,0.0319054
247.682603283,40.796554572,0.0311074
247.530339006,40.880145817,0.0301334
247.721048336,40.802209775,0.0328643
247.893874372,40.565584456,0.0273289
248.082472583,40.575061246,0.0279535
248.427349993,40.153092462,0.0291413
247.43648283,41.778512677,0.0313863
247.476824388,41.604545879,0.0309882
247.907975991,41.49364284,0.0303346
247.611850111,41.483972719,0.0298642
248.507465441,41.347959155,0.0284125
245.500790853,40.447867727,0.0309424
245.832200905,40.144137653,0.0307184
245.818969045,39.919868768,0.0322937
245.776734274,40.858294461,0.0299805
245.974749382,40.672859608,0.0301805
246.088061624,40.487423556,0.0304258
246.41116173,40.098831636,0.0325493
246.381563539,40.138175534,0.0328624
246.559273022,39.967190586,0.0324478
245.729441994,41.284653839,0.0295256
245.773350114,41.231866063,0.0292163
245.918366584,41.10448812,0.0329904
246.225712301,41.050785909,0.0330738
246.259849402,40.946636016,0.0286707
246.293060609,40.892869975,0.029287
246.303366514,40.842074747,0.0303827
246.274345494,40.928758964,0.0289416
246.507323126,40.743081934,0.0287653
246.688068128,40.684226485,0.029134
247.058435501,40.313828832,0.0331055
247.176089652,40.123929744,0.0335669
247.164499566,40.123736741,0.0335669
247.067027212,40.11593451,0.0323906
247.225636732,40.866635814,0.030343
247.362247695,40.722416976,0.028386
247.419940099,40.68696282,0.0305182
245.423225762,40.591110846,0.0312047
245.963670524,40.130901917,0.0324699
245.976648151,40.143252834,0.03261
245.551884172,41.144405177,0.030711
246.028079677,40.744897402,0.0305996
246.257214685,40.526135293,0.0289459
246.458185504,40.488727567,0.0291803
246.435216755,40.475645257,0.0317777
246.455244153,40.345229335,0.0290385
246.4206024,41.028301005,0.030786
246.521600329,41.050035509,0.0295995
246.392915421,41.681429112,0.0279312
245.724550311,40.496394487,0.0309982
245.742924605,40.411147767,0.031319
245.341989668,40.81052603,0.0298583
247.69834667,39.978376517,0.0313967
247.724932355,39.84755895,0.0280027
247.818020479,39.876010978,0.0297722
247.764219174,39.838499598,0.0305383
247.76138438,39.792509968,0.0288806
247.76571059,39.793457403,0.0288806
247.830335045,39.74413262,0.0309313
247.823569886,39.794007359,0.0291529
247.831535224,39.790522494,0.0289652
248.109689132,39.517794667,0.0290694
248.413126009,39.257656785,0.0314747
248.456732123,39.263208011,0.0317611
248.318044987,39.232452316,0.0296587
248.426391946,39.185136078,0.0298414
247.082376492,39.959157991,0.0314183
247.24524993,39.803062425,0.0323816
247.879336929,39.991795258,0.0284786
247.882082968,39.897648097,0.0296457
248.427141019,39.597779051,0.0282367
248.779578937,39.825382793,0.0296358
245.694253956,39.584569009,0.0317998
245.866942398,39.191415071,0.0300255
245.884993945,39.216719074,0.0306247
245.90823187,39.203522426,0.0277989
246.073463744,39.211048508,0.0300181
246.392837,38.933302652,0.0294305
246.348245701,38.80649646,0.0316347
246.424312374,39.600098338,0.0298572
246.425304968,39.601409333,0.0298572
246.414113401,39.546133285,0.0302058
246.358959708,39.508151789,0.0315806
246.365775763,39.552051444,0.0294801
246.580199863,39.393088611,0.0321162
246.608682852,39.289388125,0.0313957
246.545852497,39.237012871,0.0289088
246.748984084,39.320132006,0.0297141
246.65426673,39.18114327,0.0291969
246.83473821,39.258696584,0.0301131
246.824297548,39.143126099,0.0288912
246.842090743,39.109642086,0.0330306
246.892988735,39.10113142,0.0344719
246.904739168,39.136093425,0.0288588
246.945483599,38.943038644,0.0322643
247.083238931,38.81143804,0.0310849
246.652745717,39.858676201,0.0313577
246.641865354,39.895198185,0.0321359
246.695739244,39.879857428,0.0310074
246.695581124,39.877616393,0.0310074
246.975493744,39.736674836,0.0292057
246.994494989,39.603973475,0.0261375
246.933434434,39.543017771,0.0309305
246.983353319,39.56827322,0.0311897
247.098300747,39.605404914,0.031098
247.097126454,39.570317841,0.0291509
247.032227361,39.523158095,0.0305024
247.150264163,39.533765175,0.0283649
247.163095059,39.552837452,0.0267289
247.141494076,39.548904322,0.0324564
247.149385303,39.553609871,0.0267289
247.129490214,39.521134525,0.0323532
247.163491254,39.518540665,0.0251772
247.190224997,39.527677712,0.0273568
247.185254551,39.515501608,0.0273568
247.185116046,39.47383985,0.0337031
247.185400437,39.484593739,0.0337031
247.192606783,39.462967957,0.0260378
247.14247144,39.418607445,0.030898
247.187818235,39.437108814,0.0352172
247.221764624,39.56000767,0.0291566
247.279989415,39.495729833,0.0289045
247.333341705,39.428997164,0.0277531
247.318776465,39.401040388,0.0281234
247.241663688,39.319111757,0.0339242
247.404374431,39.370467764,0.0352172
247.307148409,39.181840729,0.0302895
247.387842614,39.902969194,0.0254473
247.336416564,39.820420738,0.0260913
247.438033141,39.810559366,0.0304269
247.572406872,39.889449086,0.0296549
247.462699911,39.766523046,0.0318464
247.583915821,39.804324914,0.0293613
247.44981457,39.716235934,0.0284736
247.421944785,39.74814003,0.0338259
247.620038955,39.626066166,0.0303604
247.763409137,39.562189803,0.0321973
248.453723052,39.630382789,0.029418
246.551405615,39.143151453,0.02928
246.62230001,39.082209504,0.0328855
246.869288809,38.869109392,0.0276667
247.361521795,38.419403773,0.0305319
246.358739935,39.870695663,0.0290289
246.460388543,39.890422117,0.0289444
246.518636506,39.628913834,0.0322043
246.681645596,39.618709962,0.0314593
246.765068629,39.527360894,0.0337628
246.920369966,39.383027551,0.0297073
246.927507146,39.37734015,0.0291348
246.92014071,39.395558119,0.0348706
246.795706369,39.305129207,0.0259138
246.896745006,39.48330878,0.03152
246.819018402,39.384475152,0.0299444
246.983393515,39.281395949,0.0319436
246.98971211,39.252867412,0.029007
246.980219148,39.258845031,0.029007
246.902920731,39.269659559,0.0343897
247.282274632,39.148475542,0.0269904
247.242082563,39.023554324,0.0303998
246.931862836,39.903665442,0.0328367
247.048236017,39.821905956,0.0270821
247.129923414,39.727986912,0.0308799
247.213397052,39.755504216,0.0322467
247.155444077,39.698944118,0.031211
247.238586287,39.708312194,0.0311669
247.249058835,39.683880576,0.027874
247.191338837,39.609790749,0.030463
247.205831024,39.615793591,0.030463
247.341616597,39.6205185,0.0334015
247.4973564,39.528502572,0.0289071
247.636044807,39.38419558,0.0304579
247.608257578,39.315674164,0.0281148
247.844102221,39.167843037,0.0294841
247.688711349,39.195246672,0.0303737
247.830049051,39.150817472,0.0295605
245.798991753,38.587938274,0.0286046
246.391527505,38.676187107,0.0280555
245.731257324,39.791636157,0.0320782
241.096036288,18.326518124,0.0362358
241.500707944,18.195939917,0.0371885
241.405457251,18.67156657,0.0363684
241.443583777,18.531521117,0.0383772
241.525477278,18.606847234,0.0380583
241.55942594,18.414472527,0.0370837
241.799192789,18.453059848,0.0362336
240.95100918,17.240625855,0.0367168
240.357297137,18.024627612,0.0361179
240.817827025,17.796459282,0.0375156
240.948131794,17.751422593,0.0389865
241.110427437,17.741991781,0.0408938
241.149125401,17.721552569,0.0350876
241.145589687,17.717410522,0.037812
241.166866871,17.80984258,0.0361997
241.120095116,17.648726199,0.0374889
241.164846237,17.700840317,0.0356131
241.255694739,17.775680914,0.0330014
241.204195129,17.64418511,0.0376901
241.282836703,17.757661082,0.0333841
241.279423277,17.649377168,0.0339383
241.314146512,17.539703847,0.0407853
241.373657883,17.680740844,0.0354695
241.387997114,17.601423499,0.034151
241.391037054,17.593694017,0.0339844
241.359561209,17.696831113,0.0369851
241.316837227,17.604413016,0.0333214
241.3889345,17.68828619,0.0340222
241.439713961,17.582413106,0.0405286
241.530395469,17.460799426,0.0367292
241.534455161,17.461619578,0.0367292
241.458401131,17.479717267,0.034129
241.53046589,17.60156839,0.0370293
241.701156543,17.492787506,0.0372632
