"name" "ra" "dec"
"Kepler-1040" 283.11377 48.13139
"Kepler-1041" 293.88177 49.683151
"Kepler-1042" 288.66891 39.824009
"Kepler-1043" 281.66299 47.568581
"Kepler-1044" 293.14447 46.666241
"Kepler-1045" 284.18329 45.0741
"Kepler-1046" 296.75574 46.998291
"Kepler-1047" 288.64627 50.788979
"Kepler-1048" 281.89835 42.165791
"Kepler-1049" 287.34674 47.772961
"Kepler-105" 287.88733 46.276241
"Kepler-1050" 282.92499 48.626389
"Kepler-1051" 295.15811 40.898849
"Kepler-1052" 295.34271 46.602261
"Kepler-1053" 291.41864 39.127419
"Kepler-1054" 290.60114 44.556381
"Kepler-1055" 290.48676 44.932621
"Kepler-1056" 299.526 46.899261
"Kepler-1057" 297.45215 41.558128
"Kepler-1058" 294.59579 45.875031
"Kepler-1059" 289.22021 41.706478
"Kepler-106" 300.86398 44.337551
"Kepler-1060" 286.02518 39.630932
"Kepler-1061" 296.23001 50.27523
"Kepler-1062" 283.89941 41.221611
"Kepler-1063" 290.52676 38.142979
"Kepler-1064" 291.74164 37.688938
"Kepler-1065" 294.51126 38.790501
"Kepler-1066" 298.86658 46.502239
"Kepler-1067" 285.38742 45.049049
"Kepler-1068" 294.64816 46.392361
"Kepler-1069" 290.97934 47.988998
"Kepler-107" 297.02826 48.208611
"Kepler-1070" 293.19537 49.316502
"Kepler-1071" 293.05801 45.248821
"Kepler-1072" 292.04437 46.329029
"Kepler-1073" 294.15271 38.23304
"Kepler-1074" 284.47653 46.252579
"Kepler-1075" 287.50116 47.469269
"Kepler-1076" 287.59009 51.06057
"Kepler-1077" 291.03363 42.26786
"Kepler-1078" 293.20059 43.050041
"Kepler-1079" 299.5495 45.769749
"Kepler-108" 294.55917 46.062328
"Kepler-1080" 296.46448 49.182907
"Kepler-1081" 289.44452 41.31776
"Kepler-1082" 289.35867 50.59848
"Kepler-1083" 283.16196 45.198311
"Kepler-1084" 290.10196 48.251141
"Kepler-1085" 287.47763 46.141178
"Kepler-1086" 295.25116 45.842972
"Kepler-1087" 294.97882 46.00565
"Kepler-1088" 281.56146 42.4505
"Kepler-1089" 291.09274 49.19006
"Kepler-109" 290.39273 40.28487
"Kepler-1090" 295.66287 44.525841
"Kepler-1091" 299.78546 43.67075
"Kepler-1092" 297.72314 47.112659
"Kepler-1093" 284.978 41.420158
"Kepler-1094" 292.30124 38.26704
"Kepler-1095" 293.26245 41.36512
"Kepler-1096" 294.70938 45.969501
"Kepler-1097" 281.59415 42.596409
"Kepler-1098" 295.50269 43.232792
"Kepler-1099" 288.74994 48.277168
"Kepler-11" 297.11511 41.909142
"Kepler-110" 292.92914 48.60281
"Kepler-1100" 291.87134 44.087379
"Kepler-1101" 294.56937 45.671261
"Kepler-1102" 281.32257 48.066502
"Kepler-1103" 287.38208 49.452389
"Kepler-1104" 294.46854 49.33102
"Kepler-1105" 281.11176 42.45491
"Kepler-1106" 291.1452 44.062538
"Kepler-1107" 291.04993 39.14167
"Kepler-1109" 291.64624 39.396629
"Kepler-111" 291.65317 44.688271
"Kepler-1110" 291.80801 38.6227
"Kepler-1111" 295.46338 45.81274
"Kepler-1112" 296.96881 47.751492
"Kepler-1113" 289.40671 39.33884
"Kepler-1114" 299.23694 45.834702
"Kepler-1115" 294.99176 40.144409
"Kepler-1116" 291.93365 44.115501
"Kepler-1117" 292.08478 49.23748
"Kepler-1118" 299.96567 44.160889
"Kepler-1119" 297.01913 44.327518
"Kepler-112" 296.98102 43.209751
"Kepler-1120" 290.91449 42.286579
"Kepler-1121" 297.78659 47.88612
"Kepler-1122" 288.28052 46.3409
"Kepler-1123" 294.51767 50.670399
"Kepler-1124" 286.59427 37.891258
"Kepler-1125" 295.48123 40.731979
"Kepler-1126" 285.69199 45.689388
"Kepler-1127" 293.21738 42.720711
"Kepler-1128" 293.06335 39.40345
"Kepler-1129" 291.60449 41.309361
"Kepler-113" 287.99789 50.944328
"Kepler-1130" 285.20749 45.38435
"Kepler-1131" 295.65149 49.261292
"Kepler-1132" 286.36746 48.423931
"Kepler-1133" 293.32242 42.86747
"Kepler-1134" 295.56799 42.478298
"Kepler-1135" 286.00296 44.756592
"Kepler-1136" 284.10779 44.245811
"Kepler-1137" 287.13028 48.665371
"Kepler-1138" 285.89923 48.307301
"Kepler-1139" 287.94562 39.230572
"Kepler-114" 294.12143 48.349522
"Kepler-1140" 281.69397 46.946449
"Kepler-1141" 290.54364 47.725887
"Kepler-1142" 292.71445 44.082329
"Kepler-1143" 287.30283 39.289688
"Kepler-1144" 290.04327 47.25798
"Kepler-1145" 295.30817 43.044411
"Kepler-1146" 286.71661 47.425629
"Kepler-1147" 292.54752 41.64296
"Kepler-1148" 290.95355 45.719528
"Kepler-1149" 294.18927 45.151581
"Kepler-115" 297.71185 45.261921
"Kepler-1150" 296.72449 49.532711
"Kepler-1151" 292.2478 47.878448
"Kepler-1152" 290.43402 44.107651
"Kepler-1153" 289.14722 45.86618
"Kepler-1154" 297.47711 39.877239
"Kepler-1155" 288.82059 39.52282
"Kepler-1156" 288.92401 46.057629
"Kepler-1157" 283.12103 43.525639
"Kepler-1158" 292.23395 41.575211
"Kepler-1159" 294.26633 45.204311
"Kepler-116" 294.74207 43.536831
"Kepler-1160" 287.87939 43.364071
"Kepler-1161" 299.07709 45.440639
"Kepler-1162" 283.29214 45.434109
"Kepler-1163" 290.23584 50.03009
"Kepler-1164" 287.52963 38.894508
"Kepler-1165" 286.97128 44.708302
"Kepler-1166" 290.34851 50.902851
"Kepler-1167" 298.30273 47.694031
"Kepler-1168" 287.2977 47.455441
"Kepler-1169" 294.91156 46.491459
"Kepler-117" 288.79303 48.04023
"Kepler-1170" 292.16858 43.779671
"Kepler-1171" 294.95892 38.591572
"Kepler-1172" 290.47452 37.766602
"Kepler-1173" 293.1311 45.663551
"Kepler-1174" 281.83145 42.298908
"Kepler-1175" 289.1427 46.812889
"Kepler-1176" 297.91974 45.274158
"Kepler-1177" 286.67145 49.406288
"Kepler-1178" 288.45605 45.80212
"Kepler-1179" 284.09763 47.810638
"Kepler-118" 299.21317 41.424831
"Kepler-1180" 295.88751 43.156059
"Kepler-1181" 289.74731 39.523453
"Kepler-1182" 296.30795 43.82135
"Kepler-1183" 292.23242 38.89222
"Kepler-1184" 291.28207 46.965988
"Kepler-1185" 287.24118 39.33276
"Kepler-1186" 288.47964 47.101768
"Kepler-1187" 286.892 38.31855
"Kepler-1188" 283.10385 43.148041
"Kepler-1189" 298.42633 47.946781
"Kepler-119" 295.94641 42.65892
"Kepler-1190" 284.99963 49.47998
"Kepler-1191" 291.65778 48.009312
"Kepler-1192" 282.14056 43.89658
"Kepler-1193" 288.14478 51.27562
"Kepler-1194" 291.69955 38.145271
"Kepler-1195" 284.3511 40.852982
"Kepler-1196" 292.36957 43.910809
