"cataid" "ra" "dec" "sigmaid"
"342" 7795 179.4122 0.7925538 143890
"343" 7796 179.4162 0.7791555 143891
"344" 7797 179.4177 0.639383 143881
"345" 7798 179.4207 0.7184656 143880
"346" 7802 179.4432 0.8040484 143888
"347" 7803 179.4539 0.7503142 143885
"348" 7804 179.4589 0.823752 143886
"349" 7805 179.4763 0.6483539 143892
"350" 7809 179.4003 0.6921713 143896
"351" 7811 179.437 0.8182575 143897
"352" 7815 179.506947313235 0.79763762279787 143903
"353" 7816 179.5162 0.7683599 143902
"354" 7824 179.407458896547 0.77468384849943 143911
"355" 7831 179.585477395636 0.813639344098918 143916
"356" 7839 179.6154 0.717901 143920
"357" 7840 179.6054 0.7068456 143921
"358" 7841 179.6088 0.7131005 143922
"359" 7846 179.6632 0.7048911 143926
"360" 7847 179.6604 0.7086781 143927
"361" 7848 179.5663 0.7911629 143928
"362" 7849 179.5719 0.7672632 143936
"363" 7850 179.5695 0.7632162 143937
"364" 7852 179.5734 0.6643898 143929
"365" 7854 179.5815 0.7007306 143931
"366" 7856 179.5898 0.6655213 143933
"367" 7857 179.5856 0.6667015 143934
"368" 7858 179.5887 0.6436416 143935
"369" 7859 179.609985348589 0.800635647078512 143939
"370" 7862 179.6379 0.8270258 143942
"371" 7864 179.6397 0.6463619 143943
"372" 7865 179.643880076949 0.733132049177073 143945
"373" 7866 179.6466 0.7675992 143944
"374" 7867 179.6518 0.6387253 143949
"375" 7868 179.6524 0.6436791 143950
"376" 7869 179.6528 0.7804487 143951
"377" 7870 179.6586 0.7733483 143946
"378" 7871 179.6608 0.6851541 143947
"379" 7874 179.675 0.7044007 143952
"380" 7875 179.6792 0.6957292 143953
"381" 7881 179.558709204418 0.727829110795115 143959
"382" 7882 179.567 0.6683995 143960
"383" 7883 179.568556984581 0.644419740401326 143961
"384" 7886 179.6212 0.7396717 143964
"385" 7888 179.6324 0.7514433 143966
"386" 7889 179.640816365106 0.719095866168052 143967
"387" 7890 179.6428 0.7249502 143968
"388" 7892 179.6509 0.6835512 143973
"389" 7893 179.6787 0.7979035 143971
"390" 7906 179.6857 0.8262745 143986
"391" 7907 179.6842 0.8212825 143985
"392" 7908 179.6907 0.7544914 143989
"393" 7911 179.702409048806 0.697858249151404 143988
"394" 7912 179.7267 0.6932985 143991
"395" 7913 179.7454 0.775646 143992
"396" 7914 179.7652 0.7391038 143993
"397" 7915 179.7772 0.7540986 143994
"398" 7916 179.782 0.7428848 143999
"399" 7918 179.7896 0.6397773 143995
"400" 7921 179.8028 0.7063906 143998
"401" 7929 179.7367 0.6304064 144007
"402" 7933 179.8149 0.8276553 144011
"403" 7942 179.8777 0.6476982 144022
"404" 7943 179.8897 0.7024335 144023
"405" 7944 179.8926 0.6318304 144021
"406" 7945 179.9338 0.6989215 144024
"407" 7946 179.9348 0.6353637 144025
"408" 7947 179.9457 0.6499677 144026
"409" 7948 179.9694 0.6423642 144027
"410" 7949 179.9756 0.67576 144033
"411" 7952 179.8536 0.7155513 144029
"412" 7953 179.8617 0.7059347 144030
"413" 7960 179.963896910446 0.70729435606963 144040
"414" 7961 179.9813 0.686241 144038
"415" 7967 179.9911 0.7744608 144045
"416" 7968 180.024220865005 0.688772310940395 144046
"417" 7969 180.0336 0.673845 144049
"418" 7970 180.035 0.6771442 144050
"419" 7971 180.0404 0.7164508 144047
"420" 7972 180.0424 0.7071518 144048
"421" 7973 180.0432 0.6727655 144053
"422" 7974 180.0466 0.8109293 144054
"423" 7975 180.058 0.6399412 144055
"424" 7976 180.0636 0.6308289 144051
"425" 7979 180.085 0.7978748 144056
"426" 7980 180.087 0.7630732 144057
"427" 7982 180.0948 0.7948485 144063
"428" 7983 180.0963 0.8078732 144064
"429" 7985 180.1093 0.8297322 144061
"430" 7992 180.2212 0.8138426 144070
"431" 7996 180.1326 0.7756263 144071
"432" 7997 180.1337 0.7394379 144072
"433" 7998 180.1472 0.6560291 144074
"434" 7999 180.163818751743 0.687985799006198 144073
"435" 8003 180.1919 0.6682986 144079
"436" 8004 180.1966 0.8140653 144077
"437" 8005 180.2201 0.7504476 144083
"438" 8007 180.2351 0.7930857 144081
"439" 8008 180.2395 0.7877015 144082
"440" 8009 180.2481 0.7880926 144088
"441" 8010 180.256 0.6397433 144084
"442" 8011 180.2762 0.7994249 144086
"443" 8012 180.2779 0.6307242 144087
"444" 8014 180.1615 0.6656921 144090
"445" 8016 180.203049050998 0.834979348675991 144091
"446" 8018 180.2426 0.7812483 144093
"447" 8033 180.3124 0.77884 144108
"448" 8036 180.3553 0.8094152 144109
"449" 8037 180.2885 0.6438827 144114
"450" 8038 180.2904 0.7250152 144115
"451" 8039 180.287231118765 0.725621505553394 144116
"452" 8041 180.2942 0.6461958 144110
"453" 8043 180.302462581458 0.676028173264719 144112
"454" 8045 180.3198 0.6482822 144118
"455" 8046 180.3727 0.66721 144119
"456" 8047 180.3779 0.69791 144120
"457" 8048 180.3826 0.7495005 144121
"458" 8050 180.417368600247 0.701387266921524 144123
"459" 8051 180.4242 0.724886 144126
"460" 8052 180.2887 0.7793021 144124
"461" 8057 180.4226 0.7683809 144130
"462" 8075 180.5234 0.6614195 144146
"463" 8076 180.4308 0.7710465 144147
"464" 8077 180.4358 0.6400284 144148
"465" 8078 180.4363 0.800678 144149
"466" 8079 180.451 0.6939007 144153
"467" 8083 180.483593149873 0.80147251942749 144154
"468" 8084 180.4838 0.8301515 144155
"469" 8087 180.5126 0.7717287 144160
"470" 8088 180.513 0.7239431 144161
"471" 8090 180.538 0.8389855 144159
"472" 8091 180.5555 0.8010315 144162
"473" 8093 180.563374025241 0.77740283007177 144164
"474" 8096 180.447628726045 0.637822348100023 144165
"475" 8097 180.4682 0.6991187 144168
"476" 8102 180.490783215353 0.697396833401431 144173
"477" 8107 180.4386 0.6625378 144177
"478" 8108 180.5179 0.8331388 144179
"479" 8118 180.6099 0.6939806 144186
"480" 8122 180.59083737517 0.761866763659209 144188
"481" 8123 180.5919 0.7585039 144189
"482" 8124 180.5944 0.775124 144190
"483" 8125 180.600893400854 0.728567095354522 144191
"484" 8127 180.6273 0.7126148 144193
"485" 8128 180.6851 0.802892 144194
"486" 8129 180.693 0.6889081 144196
"487" 8130 180.7037 0.6914803 144195
"488" 8131 180.7188 0.7401219 144202
"489" 8132 180.7272 0.8316676 144197
"490" 8134 180.596020726327 0.788613411620889 144199
"491" 8135 180.608667569472 0.795829634274492 144200
"492" 8136 180.60895659015 0.751264152746573 144201
"493" 8138 180.6209 0.8339748 144203
"494" 8143 180.651035827229 0.807080776545305 144212
"495" 8145 180.663 0.8278393 144208
"496" 8147 180.6739 0.699017 144210
"497" 8156 180.6631 0.8060576 144222
"498" 8161 180.7635 0.8133783 144226
"499" 8163 180.7738 0.7133962 144228
"500" 8164 180.7823 0.6867908 144227
"501" 8165 180.8066 0.7735898 144231
"502" 8166 180.8209 0.7325355 144229
"503" 8168 180.8525 0.662055 144232
"504" 8170 180.739339570277 0.665687185262491 144234
"505" 8172 180.753391189429 0.810876694205979 144236
"506" 8173 180.761468628329 0.631766243037445 144237
"507" 8176 180.8293 0.6561644 144240
"508" 8178 180.8598 0.7559463 144243
"509" 8184 180.8317 0.8252241 144247
"510" 8186 180.9052 0.704671 144250
"511" 8188 180.9997 0.7469838 144253
"512" 8191 180.926710326774 0.649524414656679 144256
"513" 8203 181.056 0.630519 144267
"514" 8216 181.0493 0.6817315 144274
"515" 8217 181.0522 0.8025784 144271
"516" 8219 181.0651 0.7714144 144275
"517" 8220 181.0753 0.6930799 144276
"518" 8221 181.0808 0.7486659 144277
"519" 8222 181.0863 0.7539786 144279
"520" 8223 181.092 0.6854514 144280
"521" 8224 181.1048 0.695511 144281
"522" 8225 181.1574 0.8229356 144286
"523" 8226 181.1758 0.7224405 144283
"524" 8227 181.175382984492 0.723764624337242 144284
"525" 8228 181.0733 0.6955233 144288
"526" 8237 181.1947 0.8010309 144297
"527" 8238 181.1971 0.7827218 144296
"528" 8239 181.2546 0.7019915 144298
"529" 8241 181.3127 0.6797363 144301
"530" 8242 181.3249 0.8021752 144300
"531" 8243 181.1852 0.8385963 144302
"532" 8245 181.324 0.7751565 144304
"533" 8255 181.3805 0.6907162 144310
"534" 8258 181.4031 0.665733 144309
"535" 8259 181.4465 0.648965 144314
"536" 8262 181.4023 0.6460178 144316
"537" 8263 181.4617 0.7553654 144317
"538" 8264 181.4719 0.6693455 144318
"539" 8268 181.3509 0.7821774 144323
"540" 8276 181.496316412639 0.793442813938596 144328
"541" 8277 181.5472 0.6903745 144329
"542" 8278 181.5554 0.6680335 144330
"543" 8279 181.5606 0.7653056 144331
"544" 8280 181.6197 0.6862396 144334
"545" 8282 181.486193521198 0.645419150777364 144333
"546" 8286 181.5878 0.8266095 144336
"547" 8289 181.620752262192 0.756553204194347 144340
"548" 8297 181.6577 0.6979037 144349
"549" 8298 181.6656 0.6526467 144348
"550" 8299 181.673 0.6984099 144350
"551" 8300 181.6859 0.7080078 144351
"552" 8301 181.6869 0.7011721 144352
"553" 8302 181.700039446276 0.70217659373105 144355
"554" 8303 181.7008 0.6328905 144356
"555" 8304 181.7081 0.759575 144353
"556" 8305 181.7356 0.6780615 144354
"557" 8306 181.738 0.6736127 144357
"558" 8307 181.7455 0.6359639 144358
"559" 8308 181.749167883178 0.766291957854682 144359
"560" 8309 181.7513 0.7748415 144360
"561" 8312 181.675616050163 0.72613162629535 144362
"562" 8314 181.694 0.7228845 144364
"563" 8319 181.738017174533 0.662922105223595 144370
"564" 8320 181.7407 0.8321387 144372
"565" 8325 181.7817 0.636248 144376
"566" 8329 181.8843 0.7790689 144378
"567" 8330 181.8884 0.6828112 144379
"568" 8332 181.783 0.6705112 144380
"569" 8333 181.786 0.7345577 144381
"570" 8334 181.787 0.7096435 144384
"571" 8335 181.8052 0.6945299 144382
"572" 8336 181.8069 0.708718 144383
"573" 8337 181.9028 0.7968045 144388
"574" 8338 181.9039 0.7302769 144385
"575" 8339 181.9066 0.8006483 144386
"576" 8340 181.909 0.7818331 144387
"577" 8344 181.8159 0.6773767 144392
"578" 8345 181.9138 0.6805846 144393
"579" 8353 182.0165 0.6976018 144399
"580" 8360 182.0082 0.7796637 144402
"581" 8361 182.0114 0.7690535 144403
"582" 8363 182.0443 0.8159987 144404
"583" 8365 182.0706 0.7471544 144409
"584" 8366 181.965 0.7243528 144407
"585" 8367 181.968370723628 0.729234134332305 144408
"586" 8368 181.9837 0.7528396 144413
"587" 8371 182.027 0.8008165 144412
"588" 8382 182.120440855232 0.670049666248601 144424
"589" 8384 182.176844635712 0.702402676306479 144426
"590" 8385 182.1655 0.7050649 144427
"591" 8386 182.0789 0.7666746 144428
"592" 8387 182.0797 0.7665803 144429
"593" 8388 182.0866 0.7729604 144430
"594" 8389 182.0888 0.706506 144432
"595" 8390 182.0911 0.6894922 144431
"596" 8391 182.1292 0.7525903 144433
"597" 8393 182.2251 0.6721331 144437
"598" 8394 182.2265 0.6717796 144435
"599" 8401 182.181664487683 0.704963557542097 144441
"600" 8403 182.217370373497 0.7322730433319 144448
"601" 8404 182.2207 0.7055654 144445
"602" 8408 182.154 0.8272867 144450
"603" 8410 182.144725092458 0.638251738964124 144451
"604" 8414 182.2331 0.7176117 144453
"605" 8415 182.2296 0.7195801 144454
"606" 8416 182.2352 0.7356472 144455
"607" 8417 182.2374 0.637642 144456
"608" 8418 182.2967 0.6733383 144457
"609" 8419 182.3005 0.7446632 144462
"610" 8420 182.3021 0.6588637 144459
"611" 8421 182.3022 0.737407 144460
"612" 8423 182.3288 0.7955088 144463
"613" 8428 182.2887 0.7712825 144469
"614" 8430 182.295226045832 0.702030321453437 144471
"615" 8435 182.3074 0.7981171 144476
"616" 8438 182.323081939481 0.831464780739988 144480
"617" 8441 182.3442 0.7853547 144478
"618" 8450 182.4211 0.6576985 144486
"619" 8452 182.4184 0.7931578 144488
"620" 8453 182.423 0.7224067 144489
"621" 8454 182.4288 0.7891337 144487
"622" 8455 182.4658 0.7357113 144490
"623" 8457 182.3867 0.7855833 144492
"624" 8460 182.409391383125 0.755023553009554 144495
"625" 8461 182.410229840834 0.73819746981837 144498
"626" 8462 182.416886288258 0.741996993593997 144496
"627" 8473 182.5133 0.8370433 144506
"628" 8485 182.5514 0.7540266 144520
"629" 8487 182.6359 0.6774978 144521
"630" 8488 182.6297 0.6727735 144522
"631" 8490 182.6415 0.671477 144524
"632" 8491 182.5284 0.7597446 144526
"633" 8495 182.6063 0.7199179 144529
"634" 8496 182.6228 0.8385392 144532
"635" 8497 182.662207938972 0.801548020271197 144530
"636" 8499 182.544249932391 0.826384586905922 144534
"637" 8505 182.6048 0.6761483 144545
"638" 8507 182.6288 0.6851093 144539
"639" 8517 182.5822 0.7812178 144551
"640" 8521 182.553232348931 0.629273172145546 144555
"641" 8527 182.7276 0.6495357 144559
"642" 8533 182.7124 0.6938005 144565
"643" 8534 182.7183 0.7409177 144566
"644" 8536 182.7496 0.647917 144568
"645" 8538 182.7957 0.6862169 144569
"646" 8539 182.8109 0.6693972 144570
